method,dimension,segment,kpi,n,true_cate,predicted_cate
t_learner,arm_x_kol_tier,2->3|macro,conversions,7,0.0285714285714,0.178193156262
t_learner,arm_x_kol_tier,2->3|macro,revenue,7,5.56857142857,23.6295506433
t_learner,arm_x_kol_tier,2->3|mid,impressions,49,63.0346938776,1342.38540927
t_learner,arm_x_kol_tier,2->3|mid,clicks,49,0.569387755102,14.241528881
t_learner,arm_x_kol_tier,2->3|mid,conversions,49,0,0.146347006016
t_learner,arm_x_kol_tier,2->3|mid,revenue,49,0.874489795918,19.8314296108
t_learner,arm_x_kol_tier,3->0|mid,impressions,19,-415.852631579,-740.712611174
t_learner,arm_x_kol_tier,3->0|mid,clicks,19,-5.67894736842,-7.67497249008
t_learner,arm_x_kol_tier,3->0|mid,conversions,19,-0.0631578947368,-0.0798138817127
t_learner,arm_x_kol_tier,3->0|mid,revenue,19,-15.4826315789,-12.8532011974
causal_forest_dml,budget_bucket,0,impressions,782,0,775224381.508
causal_forest_dml,budget_bucket,0,clicks,782,-0.0162404092072,11251817.4303
causal_forest_dml,budget_bucket,0,conversions,782,0,0.72605967128
causal_forest_dml,budget_bucket,0,revenue,782,-0.0532225063939,1.51023314585e+31
causal_forest_dml,budget_bucket,1,impressions,730,5.80410958904,171326.907537
causal_forest_dml,budget_bucket,1,clicks,730,0.061095890411,19287.755391
causal_forest_dml,budget_bucket,1,conversions,730,0.00027397260274,0.359527808907
causal_forest_dml,budget_bucket,1,revenue,730,0.152575342466,1.27963133873e+13
causal_forest_dml,budget_bucket,2,impressions,351,147.512250712,-6506323.98176
causal_forest_dml,budget_bucket,2,clicks,351,1.61709401709,-33133205143.3
causal_forest_dml,budget_bucket,2,conversions,351,0.0367521367521,-4.49099544096
causal_forest_dml,budget_bucket,2,revenue,351,3.46868945869,-106898735.951
causal_forest_dml,budget_bucket,3,impressions,137,522.545255474,-437877916.692
causal_forest_dml,budget_bucket,3,clicks,137,5.58686131387,-952566.429908
causal_forest_dml,budget_bucket,3,conversions,137,0.0613138686131,-112.188298146
causal_forest_dml,budget_bucket,3,revenue,137,13.6401459854,-4.31339993028e+24
causal_forest_dml,kol_tier,macro,impressions,7,156.428571429,51312.4931662
causal_forest_dml,kol_tier,macro,clicks,7,2,-6.9365081151
causal_forest_dml,kol_tier,macro,conversions,7,0.0285714285714,0.0253347635641
causal_forest_dml,kol_tier,macro,revenue,7,5.56857142857,-6.18525204761
causal_forest_dml,kol_tier,micro,impressions,755,83.0421192053,9322427.70226
causal_forest_dml,kol_tier,micro,clicks,755,0.850066225166,6424217.70196
causal_forest_dml,kol_tier,micro,conversions,755,0.0153642384106,-15.3704840165
causal_forest_dml,kol_tier,micro,revenue,755,1.90017218543,-7.82696270712e+23
causal_forest_dml,kol_tier,mid,impressions,68,-70.7720588235,-150.319744164
causal_forest_dml,kol_tier,mid,clicks,68,-1.17647058824,-1.51642654712
causal_forest_dml,kol_tier,mid,conversions,68,-0.0176470588235,0.0640551612153
causal_forest_dml,kol_tier,mid,revenue,68,-3.69588235294,-2.60200210744
causal_forest_dml,kol_tier,nano,impressions,1170,58.6523076923,459007486.151
causal_forest_dml,kol_tier,nano,clicks,1170,0.674444444444,-9936686145.13
causal_forest_dml,kol_tier,nano,conversions,1170,0.00931623931624,-3.85958969595
causal_forest_dml,kol_tier,nano,revenue,1170,1.65271794872,1.00940369235e+31
causal_forest_dml,niche,beauty,impressions,219,70.8639269406,523178.314107
causal_forest_dml,niche,beauty,clicks,219,0.518721461187,95455.143909
causal_forest_dml,niche,beauty,conversions,219,0.00684931506849,-14.4823219348
causal_forest_dml,niche,beauty,revenue,219,0.854063926941,2.62036308355e+15
causal_forest_dml,niche,beverage,impressions,171,88.3187134503,-330563551.299
causal_forest_dml,niche,beverage,clicks,171,1.03099415205,3051.21193699
causal_forest_dml,niche,beverage,conversions,171,0.0169590643275,-5.45842939573
causal_forest_dml,niche,beverage,revenue,171,2.6865497076,4.65506308013e+12
causal_forest_dml,niche,electronics,impressions,174,35.4304597701,30452.445501
causal_forest_dml,niche,electronics,clicks,174,0.418390804598,460038.855519
causal_forest_dml,niche,electronics,conversions,174,0.00747126436782,-1.35525427954
causal_forest_dml,niche,electronics,revenue,174,0.855862068966,5.66839257638e+19
causal_forest_dml,niche,fashion,impressions,199,74.6934673367,258892613.539
causal_forest_dml,niche,fashion,clicks,199,0.804020100503,21019015.9563
causal_forest_dml,niche,fashion,conversions,199,0.0115577889447,0.321431363588
causal_forest_dml,niche,fashion,revenue,199,2.0556281407,1.34301778325e+26
causal_forest_dml,niche,fitness,impressions,225,56.2648888889,41559274.8778
causal_forest_dml,niche,fitness,clicks,225,0.8,2757264.37724
causal_forest_dml,niche,fitness,conversions,225,0.0115555555556,-5.26960289678
causal_forest_dml,niche,fitness,revenue,225,1.66871111111,1.45682202657e+24
causal_forest_dml,niche,food,impressions,194,71.1051546392,2277154638.88
causal_forest_dml,niche,food,clicks,194,0.732989690722,-59911498529.5
causal_forest_dml,niche,food,conversions,194,0.0123711340206,-45.6298495859
causal_forest_dml,niche,food,revenue,194,1.74742268041,2.61308764777e+12
causal_forest_dml,niche,home,impressions,214,69.7565420561,242590.177361
causal_forest_dml,niche,home,clicks,214,0.52523364486,239013.987599
causal_forest_dml,niche,home,conversions,214,0.00981308411215,-0.987985107998
causal_forest_dml,niche,home,revenue,214,1.43364485981,3.45971687502e+26
causal_forest_dml,niche,parenting,impressions,193,60.3398963731,416046008.227
causal_forest_dml,niche,parenting,clicks,193,0.69274611399,14080574.5527
causal_forest_dml,niche,parenting,conversions,193,0.0103626943005,-0.171184141756
causal_forest_dml,niche,parenting,revenue,193,1.9885492228,6.11912108022e+31
causal_forest_dml,niche,pet,impressions,196,45.2785714286,-2537501.87872
causal_forest_dml,niche,pet,clicks,196,0.402551020408,-30516270.6886
causal_forest_dml,niche,pet,conversions,196,0.00816326530612,-1.22367039664
causal_forest_dml,niche,pet,revenue,196,0.526020408163,9.09846683185e+25
causal_forest_dml,niche,travel,impressions,215,65.3479069767,83693594.2832
causal_forest_dml,niche,travel,clicks,215,0.906976744186,307239.345913
causal_forest_dml,niche,travel,conversions,215,0.013023255814,-6.12499873047
causal_forest_dml,niche,travel,revenue,215,2.06227906977,1.07795551018e+16
causal_forest_dml,arm_x_kol_tier,0->1|micro,impressions,551,0.0967332123412,115685810.07
causal_forest_dml,arm_x_kol_tier,0->1|micro,clicks,551,-0.00816696914701,9043707.61575
causal_forest_dml,arm_x_kol_tier,0->1|micro,conversions,551,0,0.685832634365
causal_forest_dml,arm_x_kol_tier,0->1|micro,revenue,551,-0.0367876588022,1.92487194711e+17
causal_forest_dml,arm_x_kol_tier,0->1|nano,impressions,905,0,599566083.955
causal_forest_dml,arm_x_kol_tier,0->1|nano,clicks,905,-0.0060773480663,4231954.21645
causal_forest_dml,arm_x_kol_tier,0->1|nano,conversions,905,0,0.494246851488
causal_forest_dml,arm_x_kol_tier,0->1|nano,revenue,905,0.00906077348066,1.30497493929e+31
causal_forest_dml,arm_x_kol_tier,1->2|micro,impressions,204,307.075980392,-277962982.517
causal_forest_dml,arm_x_kol_tier,1->2|micro,clicks,204,3.1681372549,-650973.192646
causal_forest_dml,arm_x_kol_tier,1->2|micro,conversions,204,0.056862745098,-58.7382804606
causal_forest_dml,arm_x_kol_tier,1->2|micro,revenue,204,7.1318627451,-2.89674407082e+24
causal_forest_dml,arm_x_kol_tier,1->2|nano,impressions,265,258.955471698,-21013385.5959
causal_forest_dml,arm_x_kol_tier,1->2|nano,clicks,265,2.99849056604,-43885859276.9
causal_forest_dml,arm_x_kol_tier,1->2|nano,conversions,265,0.0411320754717,-18.7283522447
causal_forest_dml,arm_x_kol_tier,1->2|nano,revenue,265,7.26596226415,-3525135000.23
causal_forest_dml,arm_x_kol_tier,2->3|macro,impressions,7,156.428571429,51312.4931662
causal_forest_dml,arm_x_kol_tier,2->3|macro,clicks,7,2,-6.9365081151
causal_forest_dml,arm_x_kol_tier,2->3|macro,conversions,7,0.0285714285714,0.0253347635641
causal_forest_dml,arm_x_kol_tier,2->3|macro,revenue,7,5.56857142857,-6.18525204761
causal_forest_dml,arm_x_kol_tier,2->3|mid,impressions,49,63.0346938776,-235.37880195
causal_forest_dml,arm_x_kol_tier,2->3|mid,clicks,49,0.569387755102,-2.4826675444
causal_forest_dml,arm_x_kol_tier,2->3|mid,conversions,49,0,0.0993762850276
causal_forest_dml,arm_x_kol_tier,2->3|mid,revenue,49,0.874489795918,-4.22114015305
causal_forest_dml,arm_x_kol_tier,3->0|mid,impressions,19,-415.852631579,69.0430890733
causal_forest_dml,arm_x_kol_tier,3->0|mid,clicks,19,-5.67894736842,0.975458130105
causal_forest_dml,arm_x_kol_tier,3->0|mid,conversions,19,-0.0631578947368,-0.0270361580903
causal_forest_dml,arm_x_kol_tier,3->0|mid,revenue,19,-15.4826315789,1.57366969439
